position	errors	total	rate
0	45	7592	0.00592729
1	10	7592	0.00131718
2	13	7592	0.00171233
3	6	7592	0.000790306
4	5	7592	0.000658588
5	9	7592	0.00118546
6	8	7592	0.00105374
7	11	7592	0.00144889
8	6	7591	0.00079041
9	4	7592	0.00052687
10	7	7592	0.000922023
11	8	7592	0.00105374
12	7	7592	0.000922023
13	6	7592	0.000790306
14	5	7592	0.000658588
15	7	7592	0.000922023
16	6	7592	0.000790306
17	10	7592	0.00131718
18	8	7592	0.00105374
19	7	7588	0.000922509
20	7	7586	0.000922752
21	7	7585	0.000922874
22	12	7584	0.00158228
23	6	7583	0.000791244
24	16	7584	0.0021097
25	13	7584	0.00171414
26	9	7584	0.00118671
27	14	7584	0.00184599
28	11	7584	0.00145042
29	10	7583	0.00131874
30	10	7583	0.00131874
31	12	7583	0.00158249
32	12	7583	0.00158249
33	11	7583	0.00145061
34	9	7583	0.00118687
35	16	7582	0.00211026
36	14	7582	0.00184648
37	8	7582	0.00105513
38	16	7580	0.00211082
39	11	7579	0.00145138
40	13	7579	0.00171527
41	17	7575	0.00224422
42	17	7572	0.00224511
43	12	7571	0.001585
44	10	7568	0.00132135
45	21	7563	0.00277668
46	13	7555	0.00172071
47	16	7550	0.00211921
48	17	7547	0.00225255
49	15	7545	0.00198807
50	11	7543	0.00145831
51	18	7536	0.00238854
52	22	7531	0.00292126
53	20	7526	0.00265745
54	11	7520	0.00146277
55	17	7509	0.00226395
56	15	7500	0.002
57	21	7489	0.00280411
58	11	7486	0.00146941
59	16	7481	0.00213875
60	25	7472	0.00334582
61	24	7468	0.00321371
62	25	7459	0.00335166
63	23	7446	0.00308891
64	14	7434	0.00188324
65	23	7425	0.00309764
66	19	7412	0.00256341
67	19	7400	0.00256757
68	24	7387	0.00324895
69	15	7372	0.00203473
70	19	7361	0.00258117
71	17	7348	0.00231355
72	16	7334	0.00218162
73	17	7313	0.00232463
74	21	7299	0.00287711
75	21	7276	0.0028862
76	26	7260	0.00358127
77	20	7243	0.00276129
78	13	7225	0.00179931
79	23	7211	0.00318957
80	20	7195	0.00277971
81	17	7175	0.00236934
82	16	7154	0.00223651
83	17	7131	0.00238396
84	23	7106	0.0032367
85	17	7075	0.00240283
86	22	7055	0.00311836
87	29	7038	0.00412049
88	25	7013	0.00356481
89	21	6993	0.003003
90	24	6968	0.00344432
91	16	6943	0.00230448
92	26	6922	0.00375614
93	23	6903	0.00333188
94	26	6870	0.00378457
95	22	6843	0.00321496
96	23	6815	0.00337491
97	18	6797	0.00264823
98	12	6771	0.00177226
99	21	6747	0.00311249
100	20	6719	0.00297663
101	20	6689	0.00298998
102	24	6658	0.00360469
103	28	6629	0.00422386
104	22	6596	0.00333535
105	25	6575	0.00380228
106	19	6553	0.00289944
107	22	6529	0.00336958
108	29	6499	0.00446222
109	22	6463	0.00340399
110	16	6419	0.0024926
111	24	6387	0.00375763
112	22	6354	0.00346239
113	27	6323	0.00427012
114	28	6295	0.00444797
115	35	6260	0.00559105
116	27	6226	0.00433665
117	32	6191	0.00516879
118	25	6162	0.00405712
119	24	6131	0.00391453
120	25	6099	0.00409903
121	25	6065	0.00412201
122	26	6037	0.00430677
123	27	5999	0.00450075
124	26	5966	0.00435803
125	16	5940	0.0026936
126	29	5912	0.00490528
127	29	5882	0.0049303
128	23	5851	0.00393095
129	19	5815	0.00326741
130	22	5782	0.00380491
131	30	5742	0.00522466
132	27	5720	0.00472028
133	23	5687	0.00404431
134	22	5646	0.00389656
135	29	5605	0.00517395
136	21	5574	0.00376749
137	30	5548	0.00540735
138	24	5504	0.00436047
139	27	5479	0.00492791
140	22	5439	0.00404486
141	17	5397	0.0031499
142	27	5365	0.00503262
143	30	5328	0.00563063
144	19	5293	0.00358965
145	22	5253	0.00418808
146	15	5214	0.00287687
147	20	5166	0.00387147
148	23	5112	0.00449922
149	18	5080	0.00354331
150	215	5046	0.042608
