position	quality	count
0	12	21
0	13	31
0	14	205
0	15	204
0	16	50493
0	17	138
0	18	38071
0	19	41
0	20	49
0	21	5
0	24	29
0	25	15
0	26	42
0	27	84
0	28	15
0	29	121869
0	30	22002
0	31	7207
0	32	824862
0	33	773484
0	34	450646
0	35	61906
0	36	9275
0	37	751
0	38	961
0	39	1566
0	40	2
1	12	17
1	13	20
1	14	170
1	15	193
1	16	42520
1	17	158
1	18	28565
1	19	41
1	20	45
1	21	4
1	24	20
1	25	11
1	26	34
1	27	61
1	28	7
1	29	85902
1	30	25761
1	31	12161
1	32	723050
1	33	835126
1	34	508967
1	35	83516
1	36	13872
1	37	817
1	38	995
1	39	1694
1	40	8
2	12	15
2	13	19
2	14	151
2	15	153
2	16	41443
2	17	160
2	18	26282
2	19	40
2	20	43
2	21	1
2	24	18
2	25	12
2	26	25
2	27	53
2	28	12
2	29	61852
2	30	30831
2	31	17033
2	32	688359
2	33	855809
2	34	526184
2	35	95052
2	36	16646
2	37	855
2	38	1015
2	39	1899
2	40	1
3	12	9
3	13	23
3	14	132
3	15	164
3	16	38299
3	17	160
3	18	20693
3	19	45
3	20	48
3	21	4
3	24	14
3	25	12
3	26	22
3	27	39
3	28	6
3	29	55113
3	30	32305
3	31	19416
3	32	684701
3	33	863546
3	34	530684
3	35	97805
3	36	17597
3	37	985
3	38	1085
3	39	1968
3	40	7
4	12	8
4	13	16
4	14	109
4	15	159
4	16	55890
4	17	193
4	18	25024
4	19	54
4	20	38
4	21	6
4	24	13
4	25	7
4	26	16
4	27	41
4	28	10
4	29	57533
4	30	43689
4	31	25381
4	32	672536
4	33	842213
4	34	530405
4	35	91499
4	36	15875
4	37	906
4	38	1123
4	39	2080
4	40	5
5	12	14
5	13	13
5	14	104
5	15	139
5	16	29294
5	17	209
5	18	30381
5	19	7233
5	20	15506
5	21	4
5	24	19
5	25	8
5	26	24
5	27	27
5	28	10
5	29	8860
5	30	5404
5	31	22984
5	32	47617
5	33	153825
5	34	58831
5	35	119222
5	36	1051
5	37	1860599
5	38	1140
5	39	1999
5	40	1
6	12	8
6	13	9
6	14	114
6	15	161
6	16	30345
6	17	552
6	18	31590
6	19	7646
6	20	16439
6	21	5
6	24	21
6	25	1
6	26	23
6	27	43
6	28	13
6	29	8769
6	30	5474
6	31	23617
6	32	47433
6	33	153224
6	34	58213
6	35	121533
6	36	934
6	37	1855200
6	38	1096
6	39	2097
6	40	4
7	12	5
7	13	10
7	14	100
7	15	150
7	16	30031
7	17	707
7	18	30462
7	19	7168
7	20	15726
7	21	5
7	24	14
7	25	12
7	26	32
7	27	43
7	28	11
7	29	8541
7	30	5333
7	31	23750
7	32	48291
7	33	150099
7	34	59183
7	35	122499
7	36	905
7	37	1858304
7	38	1121
7	39	2122
7	40	6
8	12	13
8	13	17
8	14	95
8	15	435
8	16	30595
8	17	950
8	18	31291
8	19	7326
8	20	15802
8	21	9
8	24	20
8	25	8
8	26	34
8	27	52
8	28	9
8	29	8562
8	30	5413
8	31	24491
8	32	47568
8	33	150988
8	34	58708
8	35	123510
8	36	868
8	37	1854598
8	38	1137
8	39	2129
8	40	5
9	12	11
9	13	18
9	14	114
9	15	539
9	16	30245
9	17	1348
9	18	31536
9	19	7683
9	20	16350
9	21	3
9	24	19
9	25	14
9	26	25
9	27	44
9	28	5
9	29	8376
9	30	5378
9	31	24356
9	32	47157
9	33	150751
9	34	59022
9	35	123400
9	36	901
9	37	1853853
9	38	1156
9	39	2152
9	40	6
10	12	12
10	13	14
10	14	112
10	15	545
10	16	30791
10	17	1824
10	18	31153
10	19	7519
10	20	16512
10	21	3
10	24	19
10	25	14
10	26	21
10	27	50
10	28	12
10	29	8669
10	30	5572
10	31	24706
10	32	46983
10	33	151038
10	34	58875
10	35	123934
10	36	900
10	37	1851848
10	38	1228
10	39	2200
10	40	3
11	12	15
11	13	21
11	14	116
11	15	638
11	16	29629
11	17	2205
11	18	30180
11	19	7228
11	20	15583
11	21	4
11	24	19
11	25	12
11	26	22
11	27	40
11	28	8
11	29	8623
11	30	5387
11	31	24480
11	32	47107
11	33	148766
11	34	59611
11	35	124728
11	36	863
11	37	1855723
11	38	1201
11	39	2146
11	40	6
12	12	14
12	13	18
12	14	163
12	15	797
12	16	30696
12	17	2520
12	18	30976
12	19	7486
12	20	10936
12	21	5248
12	24	21
12	25	7
12	26	37
12	27	55
12	28	12
12	29	43
12	30	2376
12	31	26
12	32	35150
12	33	65132
12	34	34768
12	35	33612
12	36	45371
12	37	256947
12	38	1799907
12	39	2221
12	40	6
13	12	5
13	13	19
13	14	209
13	15	904
13	16	30468
13	17	2741
13	18	30972
13	19	7505
13	20	11079
13	21	5331
13	24	17
13	25	5
13	26	27
13	27	49
13	28	11
13	29	53
13	30	2429
13	31	42
13	32	35592
13	33	65831
13	34	34751
13	35	33466
13	36	45051
13	37	257277
13	38	1798409
13	39	2232
13	40	6
14	12	8
14	13	15
14	14	202
14	15	1149
14	16	29438
14	17	2580
14	18	29254
14	19	6882
14	20	10338
14	21	5052
14	24	30
14	25	8
14	26	20
14	27	56
14	28	16
14	29	60
14	30	2215
14	31	40
14	32	34852
14	33	64227
14	34	33527
14	35	32794
14	36	44725
14	37	254225
14	38	1810575
