position	errors	total	rate
0	2766	2366740	0.0011687
1	3005	2366740	0.00126968
2	2777	2366740	0.00117334
3	1852	2366734	0.000782513
4	1905	2366734	0.000804907
5	2215	2366733	0.000935889
6	2162	2366726	0.000913498
7	2098	2366728	0.000886456
8	2090	2366723	0.000883078
9	2265	2366727	0.000957018
10	2164	2366721	0.000914345
11	2354	2366715	0.000994628
12	2174	2366719	0.000918571
13	2248	2366729	0.000949834
14	2152	2366729	0.000909272
15	2231	2366722	0.000942654
16	2380	2366719	0.00100561
17	2477	2366722	0.0010466
18	2054	2366724	0.000867866
19	2302	2366265	0.000972841
20	2312	2365964	0.000977192
21	2189	2365718	0.0009253
22	2358	2365601	0.000996787
23	2041	2365552	0.000862801
24	2101	2365541	0.000888169
25	3893	2365523	0.00164572
26	3539	2365513	0.00149608
27	3621	2365499	0.00153076
28	3633	2365490	0.00153583
29	3394	2365473	0.00143481
30	3609	2365453	0.00152571
31	3302	2365440	0.00139593
32	3774	2365435	0.00159548
33	3562	2365430	0.00150586
34	3949	2365420	0.00166947
35	3524	2365392	0.00148982
36	3866	2365377	0.00163441
37	4188	2365375	0.00177054
38	3813	2365356	0.00161202
39	3650	2365348	0.00154311
40	3721	2365331	0.00157314
41	3861	2365326	0.00163233
42	3753	2365316	0.00158668
43	3701	2365291	0.00156471
44	4000	2365290	0.00169112
45	4051	2365265	0.0017127
46	4041	2365253	0.00170849
47	4033	2365242	0.00170511
48	4048	2365230	0.00171146
49	3889	2365228	0.00164424
50	4157	2365212	0.00175756
51	4051	2365184	0.00171276
52	4240	2365178	0.00179268
53	3863	2365155	0.0016333
54	3841	2365146	0.001624
55	4293	2365127	0.00181512
56	4243	2365103	0.001794
57	4218	2365072	0.00178346
58	4438	2365027	0.00187651
59	4020	2365010	0.00169978
60	4369	2364969	0.00184738
61	4157	2364935	0.00175777
62	4032	2364910	0.00170493
63	4276	2364900	0.00180811
64	4388	2364880	0.00185549
65	4479	2364853	0.00189399
66	4341	2364826	0.00183565
67	4528	2364796	0.00191475
68	4653	2364776	0.00196763
69	4545	2364739	0.00192199
70	4929	2364709	0.0020844
71	4508	2364655	0.00190641
72	4553	2364625	0.00192546
73	4511	2364599	0.00190772
74	4632	2364576	0.00195891
75	4916	2364543	0.00207905
76	5127	2364512	0.00216831
77	4547	2364478	0.00192305
78	4986	2364426	0.00210876
79	4713	2364352	0.00199336
80	4961	2364297	0.0020983
81	4751	2364253	0.00200951
82	5058	2364199	0.00213941
83	5013	2364163	0.00212041
84	4979	2364126	0.00210606
85	4578	2364084	0.00193648
86	5031	2364033	0.00212814
87	4854	2363985	0.00205331
88	5162	2363937	0.00218365
89	4904	2363868	0.00207457
90	5036	2363813	0.00213046
91	5246	2363739	0.00221937
92	5096	2363696	0.00215595
93	5029	2363639	0.00212765
94	4981	2363577	0.0021074
95	5224	2363514	0.00221027
96	5433	2363427	0.00229878
97	5169	2363364	0.00218714
98	5534	2363283	0.00234166
99	5553	2363207	0.00234977
100	5109	2363120	0.00216197
101	5282	2363046	0.00223525
102	5791	2362963	0.00245074
103	5387	2362883	0.00227984
104	5246	2362789	0.00222026
105	5634	2362700	0.00238456
106	5571	2362592	0.002358
107	5518	2362511	0.00233565
108	5514	2362423	0.00233404
109	5852	2362323	0.00247722
110	5907	2362217	0.00250062
111	5727	2362143	0.00242449
112	5466	2362045	0.0023141
113	5720	2361942	0.00242174
114	5965	2361867	0.00252554
115	6094	2361761	0.00258028
116	5607	2361654	0.00237418
117	5743	2361567	0.00243186
118	5999	2361461	0.00254038
119	5891	2361332	0.00249478
120	6259	2361196	0.00265078
121	5815	2361045	0.00246289
122	6129	2360912	0.00259603
123	6097	2360776	0.00258263
124	6002	2360667	0.0025425
125	6219	2360532	0.00263458
126	6779	2360438	0.00287192
127	5924	2360304	0.00250985
128	5943	2360195	0.00251801
129	6509	2360085	0.00275795
130	6390	2359942	0.00270769
131	6474	2359784	0.00274347
132	6593	2359668	0.00279404
133	6586	2359517	0.00279125
134	6456	2359381	0.00273631
135	6652	2359248	0.00281954
136	6771	2359135	0.00287012
137	6597	2358981	0.00279655
138	6739	2358815	0.00285694
139	6720	2358649	0.00284909
140	7003	2358490	0.00296927
141	6841	2358322	0.00290079
142	7274	2358170	0.0030846
143	7105	2358013	0.00301313
144	7016	2357839	0.00297561
145	7196	2357647	0.0030522
146	7479	2357494	0.00317244
147	7078	2357325	0.00300256
148	6943	2357149	0.00294551
149	7177	2356944	0.00304504
150	7543	2356762	0.00320058
151	6739	2356572	0.00285966
152	7181	2356358	0.0030475
153	7122	2356156	0.00302272
154	7286	2355938	0.00309261
155	7560	2355765	0.00320915
156	7114	2355583	0.00302006
157	7522	2355361	0.00319357
158	7706	2355171	0.00327195
159	7408	2354986	0.00314567
160	7232	2354736	0.00307126
161	7309	2354508	0.00310426
162	7955	2354269	0.00337897
163	7544	2354017	0.00320473
164	7557	2353741	0.00321063
165	7650	2353477	0.00325051
166	7786	2353215	0.00330866
167	7871	2352962	0.00334515
168	7882	2352681	0.00335022
169	7735	2352393	0.00328814
170	7911	2352120	0.00336335
171	7525	2351834	0.00319963
172	7615	2351537	0.00323831
173	8185	2351266	0.0034811
174	8108	2351027	0.00344871
175	7480	2350741	0.00318198
176	7929	2350471	0.00337337
177	8278	2350170	0.0035223
178	8313	2349841	0.00353769
179	7942	2349505	0.00338029
180	7926	2349184	0.00337394
181	7828	2348888	0.00333264
182	8245	2348593	0.00351061
183	7919	2348237	0.00337232
184	8129	2347912	0.00346223
185	8364	2347565	0.00356284
186	8495	2347192	0.00361922
187	8294	2346778	0.00353421
188	8294	2346388	0.00353479
189	8229	2345974	0.00350771
190	8274	2345561	0.00352751
191	8301	2345071	0.00353976
192	8397	2344586	0.00358144
193	8815	2344114	0.00376048
194	8815	2344114	0.00376048
195	8324	2343126	0.00355252
196	8480	2342593	0.00361992
197	8509	2342077	0.0036331
198	8433	2341511	0.00360152
199	8407	2340904	0.00359135
200	8764	2340241	0.00374491
201	8715	2339568	0.00372505
202	8892	2338884	0.00380181
203	9209	2338201	0.0039385
204	8434	2337471	0.00360817
205	8689	2336693	0.0037185
206	8475	2335890	0.00362817
207	8709	2335089	0.00372962
208	8597	2334230	0.00368301
209	8391	2333301	0.00359619
210	8653	2332305	0.00371006
211	9249	2331281	0.00396735
212	8706	2330254	0.00373607
213	8579	2329103	0.00368339
214	9062	2327989	0.00389263
215	8970	2326864	0.00385497
216	8538	2325676	0.00367119
217	8504	2324463	0.00365848
218	8986	2323198	0.00386794
219	8793	2321887	0.00378701
220	8515	2320516	0.00366944
221	8512	2319110	0.00367037
222	8620	2317634	0.00371931
223	9445	2316078	0.00407801
224	9090	2314595	0.00392725
225	8606	2312865	0.00372093
226	8282	2311173	0.00358346
227	9114	2309318	0.00394662
228	8830	2307454	0.00382673
229	8639	2305649	0.00374688
230	8290	2303655	0.00359863
231	8567	2301510	0.00372234
232	8696	2299331	0.00378197
233	8121	2297088	0.00353535
234	8287	2294825	0.00361117
235	8886	2292321	0.00387642
236	8573	2289771	0.00374404
237	8193	2287202	0.00358211
238	8187	2284581	0.00358359
239	8613	2281931	0.00377443
240	7624	2278781	0.00334565
241	7640	2275700	0.00335721
242	7571	2272611	0.00333141
243	7652	2269529	0.00337162
244	8146	2266641	0.00359386
245	6112	2262386	0.00270157
246	7227	2258230	0.00320029
247	7070	2254443	0.00313603
248	7014	2250900	0.00311609
249	25831	2248104	0.0114901
