position	errors	total	rate
0	20912	2310779	0.00904976
1	16144	2310779	0.00698639
2	25379	2310779	0.0109829
3	13445	2310729	0.00581851
4	15224	2310737	0.00658837
5	25150	2310745	0.0108839
6	25233	2310741	0.0109199
7	25080	2310752	0.0108536
8	23132	2310750	0.0100106
9	21693	2310746	0.00938788
10	23632	2310751	0.010227
11	27307	2310744	0.0118174
12	21668	2310749	0.00937705
13	24494	2310750	0.0106
14	24973	2310754	0.0108073
15	36019	2310762	0.0155875
16	22639	2310761	0.00979721
17	25456	2310750	0.0110163
18	26757	2310743	0.0115794
19	24566	2309959	0.0106348
20	24420	2309282	0.0105747
21	24496	2308700	0.0106103
22	24390	2308291	0.0105663
23	27135	2308024	0.0117568
24	22522	2307655	0.00975969
25	25108	2307385	0.0108816
26	23083	2307158	0.0100049
27	23550	2306959	0.0102082
28	24275	2306788	0.0105233
29	24321	2306500	0.0105445
30	24550	2306225	0.0106451
31	24513	2306004	0.0106301
32	23507	2305811	0.0101947
33	24552	2305652	0.0106486
34	24599	2305415	0.0106701
35	25816	2305117	0.0111994
36	21797	2304915	0.00945675
37	26480	2304722	0.0114895
38	24317	2304520	0.0105519
39	28047	2304284	0.0121717
40	21117	2304050	0.00916517
41	23253	2303825	0.0100932
42	23635	2303616	0.01026
43	22178	2303429	0.00962825
44	21793	2303164	0.0094622
45	23940	2302934	0.0103954
46	26202	2302717	0.0113787
47	23775	2302549	0.0103255
48	22071	2302329	0.00958638
49	25274	2302086	0.0109787
50	26685	2301886	0.0115927
51	24205	2301665	0.0105163
52	24440	2301478	0.0106193
53	28139	2301260	0.0122276
54	27500	2301043	0.0119511
55	23899	2300842	0.0103871
56	24168	2300620	0.010505
57	26525	2300420	0.0115305
58	24820	2300208	0.0107903
59	25335	2299971	0.0110154
60	23664	2299743	0.0102898
61	27586	2299533	0.0119963
62	28543	2299327	0.0124136
63	23698	2299137	0.0103073
64	24392	2298945	0.0106101
65	29518	2298706	0.0128411
66	26692	2298505	0.0116128
67	24972	2298316	0.0108653
68	23000	2298131	0.0100081
69	31589	2297879	0.013747
70	27562	2297662	0.0119957
71	24626	2297444	0.0107189
72	23613	2297240	0.0102789
73	28284	2297029	0.0123133
74	25947	2296806	0.011297
75	24260	2296620	0.0105633
76	23754	2296402	0.010344
77	28306	2296159	0.0123275
78	25684	2295910	0.0111868
79	24037	2295641	0.0104707
80	25215	2295426	0.0109849
81	26178	2295193	0.0114056
82	27101	2294956	0.0118089
83	24294	2294732	0.0105869
84	24964	2294522	0.0108798
85	23128	2294301	0.0100806
86	22003	2294072	0.00959124
87	22336	2293833	0.00973741
88	23751	2293568	0.0103555
89	23004	2293353	0.0100307
90	24504	2293106	0.0106859
91	23765	2292820	0.010365
92	27791	2292578	0.0121222
93	24701	2292317	0.0107756
94	22803	2292073	0.00994864
95	22848	2291828	0.00996933
96	24882	2291587	0.010858
97	25861	2291308	0.0112866
98	22647	2291032	0.00988506
99	22900	2290745	0.00999675
100	24935	2290455	0.0108865
101	26571	2290144	0.0116023
102	21863	2289870	0.0095477
103	24126	2289573	0.0105373
104	24103	2289259	0.0105287
105	27176	2289016	0.0118724
106	22211	2288696	0.00970465
107	23957	2288409	0.0104688
108	27179	2288117	0.0118783
109	25449	2287820	0.0111237
110	23575	2287520	0.0103059
111	23932	2287203	0.0104634
112	26808	2286936	0.0117222
113	25513	2286663	0.0111573
114	22215	2286341	0.0097164
115	23111	2286051	0.0101096
116	26467	2285741	0.0115792
117	22857	2285435	0.0100012
118	25252	2285139	0.0110505
119	23376	2284810	0.010231
120	26767	2284441	0.0117171
121	24983	2284078	0.0109379
122	23187	2283760	0.010153
123	25584	2283431	0.0112042
124	25509	2283084	0.011173
125	23831	2282700	0.0104398
126	24576	2282364	0.0107678
127	26615	2282016	0.0116629
128	29215	2281678	0.0128042
129	23706	2281302	0.0103914
130	23971	2281000	0.010509
131	22415	2280662	0.00982829
132	23641	2280305	0.0103675
133	22476	2279935	0.00985818
134	23978	2279527	0.0105188
135	23503	2279193	0.010312
136	24046	2278804	0.010552
137	22811	2278435	0.0100117
138	23813	2278042	0.0104533
139	23196	2277676	0.0101841
140	23114	2277312	0.0101497
141	25605	2276867	0.0112457
142	23533	2276443	0.0103376
143	27555	2276009	0.0121067
144	23851	2275606	0.0104812
145	23254	2275180	0.0102207
146	24243	2274807	0.0106572
147	23604	2274411	0.0103781
148	23354	2273962	0.0102702
149	24257	2273541	0.0106693
150	26202	2273097	0.011527
151	23174	2272663	0.0101968
152	23697	2272201	0.0104291
153	22883	2271798	0.0100726
154	26175	2271358	0.0115239
155	23015	2270942	0.0101346
156	21060	2270488	0.00927554
157	22113	2270003	0.0097414
158	25441	2269518	0.0112099
159	23319	2269063	0.0102769
160	24059	2268577	0.0106053
161	22273	2268112	0.00982006
162	24155	2267628	0.0106521
163	23308	2267155	0.0102807
164	22339	2266626	0.00985562
165	21977	2266041	0.00969841
166	27419	2265484	0.0121029
167	25221	2264931	0.0111354
168	21651	2264381	0.00956155
169	20242	2263881	0.00894128
170	25106	2263270	0.0110928
171	23071	2262718	0.0101961
172	23489	2262151	0.0103835
173	21199	2261629	0.00937333
174	27321	2261096	0.0120831
175	23837	2260468	0.0105452
176	22338	2259848	0.00988474
177	22613	2259243	0.0100091
178	24604	2258601	0.0108935
179	23049	2258023	0.0102076
180	22616	2257426	0.0100185
181	21953	2256755	0.00972768
182	26388	2256060	0.0116965
183	23833	2255351	0.0105673
184	22653	2254673	0.0100471
185	23721	2253965	0.0105241
186	28653	2253206	0.0127165
187	24408	2252441	0.0108362
188	23951	2251687	0.0106369
189	21666	2250956	0.00962524
190	25449	2250125	0.01131
191	24700	2249323	0.0109811
192	23186	2248472	0.0103119
193	24377	2247650	0.0108455
194	25405	2246841	0.011307
195	26371	2245935	0.0117417
196	21600	2244940	0.00962164
197	22577	2243992	0.0100611
198	26309	2242953	0.0117296
199	23819	2241943	0.0106243
200	22528	2240856	0.0100533
201	22912	2239776	0.0102296
202	25200	2238667	0.0112567
203	22687	2237549	0.0101392
204	24195	2236402	0.0108187
205	22346	2235168	0.00999746
206	26325	2233847	0.0117846
207	23295	2232551	0.0104343
208	21724	2231241	0.00973629
209	23489	2229843	0.0105339
210	28940	2228221	0.0129879
211	22883	2226743	0.0102764
212	21070	2225179	0.0094689
213	22853	2223558	0.0102777
214	26293	2221965	0.0118332
215	24531	2220145	0.0110493
216	24552	2218285	0.011068
217	20622	2216478	0.00930395
218	27728	2214571	0.0125207
219	24638	2212698	0.0111348
220	23998	2210584	0.010856
221	22810	2208451	0.0103285
222	27106	2206193	0.0122863
223	23653	2203979	0.010732
224	19854	2201801	0.00901716
225	23520	2199068	0.0106954
226	26824	2196358	0.0122129
227	21983	2193614	0.0100214
228	22208	2190964	0.0101362
229	22479	2188242	0.0102726
230	24077	2184851	0.01102
231	22823	2181596	0.0104616
232	21760	2178313	0.00998938
233	22001	2175013	0.0101153
234	24721	2171814	0.0113827
235	23074	2167491	0.0106455
236	23107	2163241	0.0106817
237	20671	2159253	0.00957322
238	26085	2155193	0.0121033
239	23236	2151451	0.0108002
240	18485	2145869	0.00861423
241	19635	2140364	0.00917367
242	23785	2134964	0.0111407
243	22884	2130058	0.0107434
244	19988	2125882	0.00940222
245	16861	2116213	0.00796753
246	19953	2107592	0.0094672
247	18834	2100360	0.00896703
248	18570	2094976	0.00886406
249	59544	2092173	0.0284604
