position	quality	count
0	12	200
0	13	198
0	14	2031
0	15	3145
0	16	245851
0	17	6756
0	18	70349
0	19	40
0	20	126
0	21	9
0	24	186
0	25	122
0	26	249
0	27	668
0	28	157
0	29	217901
0	30	40297
0	31	12935
0	32	902827
0	33	576801
0	34	191036
0	35	11792
0	36	616
0	37	2436
0	38	1554
0	39	1583
0	40	2
1	12	179
1	13	181
1	14	1882
1	15	3130
1	16	221335
1	17	7053
1	18	49729
1	19	42
1	20	124
1	21	13
1	24	173
1	25	105
1	26	196
1	27	605
1	28	155
1	29	180677
1	30	49085
1	31	22445
1	32	836215
1	33	656408
1	34	238526
1	35	15991
1	36	1266
1	37	4741
1	38	2648
1	39	1728
1	40	3
2	12	145
2	13	163
2	14	1717
2	15	2946
2	16	237924
2	17	6914
2	18	59379
2	19	54
2	20	134
2	21	7
2	24	154
2	25	95
2	26	203
2	27	578
2	28	142
2	29	155020
2	30	68213
2	31	35722
2	32	819353
2	33	634703
2	34	232529
2	35	16010
2	36	1432
2	37	6184
2	38	3604
2	39	2072
2	40	3
3	12	114
3	13	153
3	14	1599
3	15	2945
3	16	214218
3	17	7193
3	18	40196
3	19	43
3	20	165
3	21	10
3	24	147
3	25	94
3	26	164
3	27	538
3	28	160
3	29	151642
3	30	52667
3	31	25323
3	32	823519
3	33	684095
3	34	259138
3	35	17918
3	36	1588
3	37	7104
3	38	4192
3	39	2353
3	40	6
4	12	103
4	13	140
4	14	1552
4	15	2900
4	16	224600
4	17	7549
4	18	43061
4	19	47
4	20	158
4	21	10
4	24	160
4	25	98
4	26	190
4	27	550
4	28	151
4	29	134295
4	30	61507
4	31	31697
4	32	797419
4	33	688736
4	34	265850
4	35	18583
4	36	1625
4	37	7380
4	38	4492
4	39	2654
4	40	6
5	12	97
5	13	125
5	14	1337
5	15	2879
5	16	113739
5	17	7003
5	18	121618
5	19	10753
5	20	27454
5	21	16
5	24	151
5	25	81
5	26	178
5	27	503
5	28	134
5	29	18798
5	30	8598
5	31	53855
5	32	55069
5	33	222388
5	34	45457
5	35	175343
5	36	1101
5	37	1411509
5	38	4655
5	39	2748
5	40	6
6	12	106
6	13	129
6	14	1413
6	15	2860
6	16	110319
6	17	7758
6	18	118275
6	19	10203
6	20	27809
6	21	13
6	24	123
6	25	79
6	26	209
6	27	508
6	28	152
6	29	19328
6	30	8483
6	31	54056
6	32	55943
6	33	241835
6	34	44840
6	35	174611
6	36	1109
6	37	1398107
6	38	4465
6	39	2771
6	40	4
7	12	97
7	13	133
7	14	1461
7	15	2933
7	16	112134
7	17	8088
7	18	115575
7	19	9406
7	20	24723
7	21	22
7	24	133
7	25	95
7	26	180
7	27	527
7	28	163
7	29	19299
7	30	7546
7	31	52490
7	32	56361
7	33	217835
7	34	45926
7	35	177103
7	36	1201
7	37	1424765
7	38	4702
7	39	2770
7	40	4
8	12	100
8	13	127
8	14	1514
8	15	4174
8	16	107982
8	17	8316
8	18	113364
8	19	8702
8	20	22479
8	21	11
8	24	167
8	25	96
8	26	182
8	27	519
8	28	165
8	29	18805
8	30	7796
8	31	51592
8	32	55973
8	33	221623
8	34	44990
8	35	173290
8	36	1240
8	37	1436741
8	38	4886
8	39	2781
8	40	3
9	12	128
9	13	122
9	14	1542
9	15	4334
9	16	105634
9	17	8566
9	18	108239
9	19	7954
9	20	20597
9	21	11
9	24	164
9	25	104
9	26	201
9	27	502
9	28	139
9	29	18828
9	30	7353
9	31	50220
9	32	56223
9	33	215174
9	34	46162
9	35	172357
9	36	1391
9	37	1455171
9	38	5093
9	39	2843
9	40	1
10	12	127
10	13	142
10	14	1517
10	15	4563
10	16	106126
10	17	8813
10	18	107745
10	19	7936
10	20	20493
10	21	13
10	24	154
10	25	101
10	26	195
10	27	567
10	28	160
10	29	18112
10	30	7649
10	31	49678
10	32	56454
10	33	217970
10	34	45885
10	35	167079
10	36	1322
10	37	1456244
10	38	5237
10	39	2832
10	40	5
11	12	116
11	13	135
11	14	1567
11	15	5231
11	16	110100
11	17	9509
11	18	112206
11	19	8659
11	20	22656
11	21	15
11	24	144
11	25	115
11	26	178
11	27	578
11	28	142
11	29	17787
11	30	7872
11	31	50105
11	32	54891
11	33	215640
11	34	45552
11	35	165717
11	36	1356
11	37	1445158
11	38	5134
11	39	2871
11	40	3
12	12	133
12	13	151
12	14	1797
12	15	5289
12	16	102052
12	17	9381
12	18	101812
12	19	6880
12	20	11052
12	21	6085
12	24	164
12	25	110
12	26	212
12	27	549
12	28	173
12	29	848
12	30	3218
12	31	920
12	32	71947
12	33	129649
12	34	41823
12	35	45016
12	36	55149
12	37	306342
12	38	1385336
12	39	2989
12	40	4
13	12	144
13	13	158
13	14	1904
13	15	5936
13	16	105793
13	17	9835
13	18	107674
13	19	7749
13	20	12850
13	21	7249
13	24	160
13	25	115
13	26	201
13	27	591
13	28	178
13	29	831
13	30	3352
13	31	864
13	32	70455
13	33	127531
13	34	46456
13	35	47465
13	36	54908
13	37	310111
13	38	1360657
13	39	3087
13	40	2
14	12	127
14	13	153
14	14	1995
14	15	6800
14	16	106079
14	17	9952
14	18	108053
14	19	8235
14	20	13344
14	21	7733
14	24	181
14	25	109
14	26	218
14	27	540
14	28	179
14	29	847
14	30	3419
14	31	881
14	32	71194
14	33	132547
14	34	49340
14	35	46994
14	36	54496
14	37	313297
14	38	1345879
14	39	3185
14	40	4
15	12	144
15	13	146
15	14	2015
15	15	7484
15	16	106585
15	17	10351
15	18	110196
15	19	8890
15	20	14751
15	21	8632
15	24	161
15	25	128
15	26	233
15	27	542
15	28	212
15	29	787
15	30	3459
15	31	909
15	32	71604
15	33	134132
15	34	50396
15	35	47351
15	36	54471
15	37	315280
15	38	1322701
15	39	3180
15	40	3
16	12	128
16	13	164
16	14	2122
16	15	8038
16	16	98477
16	17	10175
16	18	100095
16	19	6542
16	20	10789
16	21	5889
16	24	190
16	25	102
16	26	226
16	27	576
16	28	189
16	29	791
16	30	3205
16	31	924
16	32	71815
16	33	131071
16	34	41949
16	35	44662
16	36	55038
16	37	309053
16	38	1382626
16	39	3279
16	40	7
17	12	129
17	13	168
17	14	2192
17	15	9265
17	16	101315
17	17	10768
17	18	104329
17	19	7676
17	20	12240
17	21	6942
17	24	196
17	25	119
17	26	249
17	27	605
17	28	159
17	29	796
17	30	3423
17	31	935
17	32	70315
17	33	127344
17	34	46499
17	35	46959
17	36	54899
17	37	311329
17	38	1362929
17	39	3508
17	40	6
18	12	130
18	13	184
18	14	2297
18	15	10835
18	16	102588
18	17	11228
18	18	105151
18	19	7778
18	20	12858
18	21	6859
18	24	202
18	25	114
18	26	242
18	27	594
18	28	205
18	29	861
18	30	3461
18	31	928
18	32	70250
18	33	127457
18	34	45039
18	35	46686
18	36	54153
18	37	306044
18	38	1364221
18	39	3617
18	40	4
19	12	136
19	13	156
19	14	2344
19	15	12530
19	16	97583
19	17	11349
19	18	101798
19	19	7377
19	20	12086
19	21	6452
19	24	178
19	25	118
19	26	263
19	27	596
19	28	189
19	29	881
19	30	3340
19	31	920
19	32	71274
19	33	127740
19	34	45221
19	35	46934
19	36	54438
19	37	308652
19	38	1369418
19	39	3418
19	40	2
20	12	139
20	13	151
20	14	2359
20	15	13901
20	16	93052
20	17	11419
20	18	99360
20	19	6875
20	20	11315
20	21	6163
20	24	179
20	25	124
20	26	256
20	27	599
20	28	182
20	29	885
20	30	3295
20	31	892
20	32	69363
20	33	126038
20	34	46050
20	35	45582
20	36	54048
20	37	310244
20	38	1378924
20	39	3458
20	40	9
21	12	148
21	13	170
21	14	2417
21	15	16467
21	16	92185
21	17	12060
21	18	100571
21	19	7040
21	20	11858
21	21	6376
21	24	202
21	25	120
21	26	217
21	27	611
21	28	182
21	29	893
21	30	3311
21	31	967
21	32	68931
21	33	126380
21	34	48210
21	35	45956
21	36	54028
21	37	309909
21	38	1371690
21	39	3301
21	40	4
22	12	154
22	13	156
22	14	2568
22	15	18905
22	16	88850
22	17	12609
22	18	97919
22	19	7538
22	20	12208
22	21	6313
22	24	199
22	25	94
22	26	244
22	27	583
22	28	215
22	29	882
22	30	3473
22	31	1024
22	32	67024
22	33	93668
22	34	43303
22	35	84694
22	36	54657
22	37	311880
22	38	378840
22	39	995898
22	40	3
23	12	124
23	13	176
23	14	2578
