position	errors	total	rate
0	10368	1726990	0.00600351
1	6172	1726990	0.00357385
2	6763	1726990	0.00391606
3	8207	1726970	0.00475225
4	7173	1726971	0.00415352
5	8568	1726974	0.00496128
6	7437	1726972	0.00430638
7	7665	1726977	0.00443839
8	8069	1726973	0.00467234
9	8210	1726982	0.00475396
10	10434	1726979	0.00604176
11	8181	1726978	0.00473718
12	8049	1726979	0.00466074
13	8076	1726975	0.00467639
14	9953	1726972	0.00576327
15	10913	1726975	0.00631914
16	8235	1726978	0.00476845
17	8279	1726980	0.00479392
18	8001	1726971	0.00463297
19	8031	1726806	0.00465078
20	8869	1726645	0.00513655
21	9134	1726508	0.00529045
22	8910	1726410	0.005161
23	8147	1726339	0.00471924
24	7697	1726199	0.00445893
25	9034	1726086	0.00523381
26	9091	1725999	0.00526709
27	8655	1725927	0.0050147
28	7942	1725842	0.00460181
29	8060	1725732	0.00467048
30	9011	1725620	0.00522189
31	7825	1725496	0.00453493
32	8206	1725411	0.00475597
33	6993	1725324	0.00405315
34	9732	1725220	0.00564102
35	7873	1725124	0.00456373
36	7708	1724999	0.00446841
37	7699	1724915	0.00446341
38	9342	1724831	0.00541618
39	7084	1724710	0.00410736
40	7292	1724582	0.00422827
41	6855	1724489	0.00397509
42	10450	1724414	0.00606003
43	7286	1724316	0.00422544
44	7323	1724187	0.00424722
45	7635	1724059	0.0044285
46	7195	1723939	0.00417358
47	7442	1723839	0.00431711
48	7690	1723743	0.00446122
49	7337	1723641	0.00425669
50	7478	1723524	0.00433878
51	8182	1723421	0.00474753
52	7833	1723290	0.00454538
53	9019	1723146	0.00523403
54	8798	1723047	0.00510607
55	7925	1722926	0.00459973
56	7738	1722788	0.00449156
57	9020	1722651	0.00523612
58	8579	1722512	0.00498052
59	8719	1722384	0.00506217
60	8002	1722271	0.00464619
61	12593	1722130	0.00731246
62	8662	1722010	0.00503017
63	8345	1721888	0.00484642
64	7740	1721765	0.00449539
65	11136	1721630	0.00646829
66	8201	1721487	0.0047639
67	8692	1721359	0.0050495
68	8058	1721201	0.00468161
69	16074	1721064	0.00933957
70	9143	1720925	0.00531284
71	8221	1720775	0.0047775
72	8116	1720621	0.0047169
73	8091	1720484	0.00470275
74	8222	1720320	0.00477934
75	8689	1720149	0.00505131
76	8206	1719974	0.004771
77	8727	1719791	0.00507445
78	9014	1719598	0.00524192
79	7727	1719399	0.00449401
80	8280	1719196	0.0048162
81	9574	1719000	0.00556952
82	8617	1718822	0.00501332
83	7620	1718607	0.00443382
84	8203	1718407	0.00477361
85	9616	1718180	0.00559662
86	9063	1717978	0.00527539
87	7699	1717788	0.00448193
88	9527	1717568	0.0055468
89	10433	1717340	0.00607509
90	9136	1717117	0.00532055
91	8322	1716869	0.0048472
92	10299	1716615	0.0059996
93	10363	1716381	0.0060377
94	9860	1716125	0.0057455
95	7558	1715869	0.00440477
96	9982	1715595	0.00581839
97	10156	1715343	0.00592068
98	9111	1715069	0.00531232
99	8006	1714834	0.00466867
100	11628	1714508	0.00678212
101	9533	1714222	0.00556112
102	8901	1713957	0.00519325
103	8181	1713674	0.00477395
104	10692	1713375	0.00624032
105	9914	1713092	0.0057872
106	9334	1712763	0.00544967
107	8617	1712449	0.00503197
108	10515	1712126	0.00614149
109	10572	1711855	0.00617576
110	8937	1711516	0.00522169
111	8906	1711169	0.00520463
112	10772	1710770	0.00629658
113	10351	1710427	0.00605171
114	9367	1710056	0.0054776
115	9541	1709610	0.0055808
116	10616	1709213	0.00621105
117	9680	1708778	0.00566487
118	9031	1708352	0.00528638
119	9307	1707890	0.00544941
120	11225	1707364	0.00657446
121	10269	1706884	0.00601623
122	8537	1706398	0.00500294
123	9679	1705957	0.00567365
124	10311	1705446	0.00604593
125	10553	1704917	0.00618974
126	9512	1704366	0.00558096
127	10336	1703811	0.0060664
128	10602	1703228	0.00622465
129	9916	1702724	0.00582361
130	10037	1702001	0.00589718
131	10455	1701279	0.00614538
132	10856	1700546	0.00638383
133	9061	1699918	0.00533026
134	10495	1699263	0.00617621
135	9792	1698261	0.0057659
136	10538	1697372	0.00620842
137	8661	1696503	0.00510521
138	12295	1695536	0.00725139
139	10162	1694728	0.00599624
140	9567	1693303	0.0056499
141	8389	1691952	0.00495818
142	12747	1690563	0.00754009
143	9567	1689492	0.00566265
144	9813	1688595	0.00581134
145	7078	1685382	0.00419964
146	10958	1682426	0.00651321
147	8239	1680569	0.00490251
148	8264	1679238	0.00492128
149	30079	1679132	0.0179134
